CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
ACC 2000	Accounting Principles I	Accounting	3	null	null	"Fall, Spring, Summer"	
ACC 2100	Accounting Principles II	Accounting	3	ACC 2000	null	"Fall, Spring, Summer"	
ACC 3000	Accounting Theory/Practice I	Accounting	3	ACC 2000	null	Fall	
ACC 3100	Accounting Theory/Practice II	Accounting	3	ACC 3000 and FIN 3000(C)	null	Spring	
ACC 3500	Managerial/Cost Accounting I	Accounting	3	ACC 2100	null	Fall	
ACC 3600	Foundations of Taxation	Accounting	3	ACC 2100	null	Fall	
ACC 4100	Attestation and Assurance	Accounting	3	ACC 3100 or ACC 5050	null	Fall	
ACC 4200	Advanced Accounting	Accounting	3	ACC 3100	null	Fall	
ACC 4500	Managerial/Cost Accounting II	Accounting	3	ACC 3500	null	Spring	
ACC 4600	Advanced Tax Topics	Accounting	3	ACC 3600	null	Spring	
ACC 4700	Governmental and Not-for-Profit Accounting	Accounting	3	ACC 3100	null	Spring	
ACC 4800	Accounting Systems	Accounting	3	ACC 2100 or ACC 5050	null	Fall	
ACC 4990	Special Topics in Accounting	Accounting	variable to   3.0;  Repeatable to a Max of 6	ACC 3310	null	On Demand	Permission of instructor required
AF 0120	Physical Conditioning	Air Force ROTC	0.5; Graded Pass/Fail Only	null	null	Spring	Permission of instructor required
AF 0130	Air Force Elite Forces Workout	Air Force ROTC	1.0; Graded Pass/Fail Only	null	null	On Demand	Permission of instructor required
AF 0230	Precision Drill Team	Air Force ROTC	0.5; Graded Pass/Fail Only	null	null	Fall	Permission of instructor required
AF 0340	Field Training	Air Force ROTC	1.0; Graded Pass/Fail Only	null	null	Summer	Permission of instructor required
AF 1001	Foundations of US Air Force I	Air Force ROTC	1	null	null	Fall	Permission of instructor required
AF 1002	Foundations of US Air Force II	Air Force ROTC	1	null	null	Spring	Permission of instructor required
AF 2001	Evolution of US Air &amp; Space Power I	Air Force ROTC	1	null	null	Fall	Permission of instructor required
AF 2002	Evolution of US Air &amp; Space Power II	Air Force ROTC	1	null	null	Spring	Permission of instructor required
AF 2010	Evolution of US Air And Space Power I for Non-AFROTC Students	Air Force ROTC	1	null	null	Fall	Permission of instructor required
AF 2020	Evolution of US Air and Space Power II for Non-AFROTC Students	Air Force ROTC	1	null	null	Spring	Permission of instructor required
AF 3001	Leadership Studies I	Air Force ROTC	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AF 3002	Leadership Studies II	Air Force ROTC	3	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AF 3010	Leadership Studies I for Non-AFROTC Students	Air Force ROTC	3	null	null	Fall	Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman
AF 3020	Leadership Studies II for Non-AFROTC Students	Air Force ROTC	3	null	null	Spring	Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman
AF 4001	National Security Affairs I	Air Force ROTC	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AF 4002	National Security Affairs II	Air Force ROTC	3	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AF 4010 - National Security Affairs I	National Security Affairs I - for Non-AFROTC Students	Air Force ROTC	3	null	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AF 4020 - National Security Affairs II	National Security Affairs II - for Non-AFROTC Students	Air Force ROTC	3	null	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AR 0340	Internship in Advanced Military Leadership	Army ROTC	3.0; Graded Pass/Fail Only	null	null	Summer	Permission of department required
AR 1001	Introduction to the Army and Critical Thinking	Army ROTC	1	null	null	Fall	Permission of department required
AR 1003	Leadership and Competence	Army ROTC	1	null	null	Spring	Permission of department required
AR 1011	Basic Leadership Lab I	Army ROTC	1	null	null	Fall	Permission of department required
AR 1012	Basic Leadership Lab II	Army ROTC	1	null	null	Spring	Permission of department required
AR 2001	Leadership and Decision Making	Army ROTC	1	null	null	Fall	Permission of department required
AR 2002	Army Doctrine and Team Development	Army ROTC	1	null	null	Spring	Permission of department required
AR 2011	Intermediate Leadership Lab I	Army ROTC	1	null	null	Fall	Permission of department required
AR 2012	Intermediate Leadership Lab II	Army ROTC	1	null	null	Spring	Permission of department required
AR 2068	Fall Military Physical Conditioning	Army ROTC	1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only	null	null	Fall	Permission of department required
AR 2069	Spring Military Physical Conditioning	Army ROTC	1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only	null	null	Spring	Permission of department required
AR 3001	Warfighting Functions	Army ROTC	variable to   3.0	null	AR 3011	Fall	Permission of department required
AR 3002	Leadership and Operations	Army ROTC	variable to   3.0	AR 3001	AR 3012	Spring	Permission of department required
AR 3011	Advanced Leadership Lab I	Army ROTC	1	null	AR 3001	Fall	Permission of department required
AR 3012	Advanced Leadership Lab II	Army ROTC	1	AR 3011	AR 3002	Spring	Permission of department required
AR 3068	Military Physical Leadership I	Army ROTC	1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only	AR 2068 and AR 2069	null	Fall	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AR 3069	Military Physical Leadership II	Army ROTC	1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only	AR 3068	null	Spring	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
AR 3100	Special Topics Small Group Leadership	Army ROTC	variable to   3.0	null	null	On Demand	Permission of department required; May not be enrolled in one of the following Class(es): Freshman
AR 3775	U.S. Military History for the Professional Officers	Army ROTC	3	null	null	Summer	Permission of department required
AR 4001	Mission Command I and the Army Profession	Army ROTC	variable to   3.0	AR 3001 and AR 3002	AR 4011	"Fall, Spring"	Permission of department required
AR 4004	Mission Command II and the Company Grade Officer	Army ROTC	variable to   3.0	AR 3001 and AR 3002	AR 4012	Spring	Permission of department required
AR 4011	Battalion Staff Operations I	Army ROTC	1	null	AR 4001	Fall	Permission of department required
AR 4012	Battalion Staff Operations II	Army ROTC	1	null	AR 4004	Spring	Permission of department required
AR 4100	Special Topics Leadership Development	Army ROTC	variable to   3.0	null	null	On Demand	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
ATM 4640	Fundamentals of Atmospheric Science	Atmospheric Science	3	(PH 2200 or PH 2260) and (PH 1360 or PH 2300) and MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Fall - Offered alternate years beginning with the 2015-2016 academic year 	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 2100	Undergraduate Biomedical Engineering Seminar	Biomedical Engineering	1.0; Graded Pass/Fail Only	null	null	Fall	"May not be enrolled in one of the following Level(s): Graduate;May not be enrolled in one of the following Class(es): Junior, Senior"
BE 2110	Statistical Methods for Biomedical Engineering	Biomedical Engineering	3	MA 1135 or MA 1160 or MA 1161	null	Spring	"May not be enrolled in one of the following Level(s): Graduate;May not be enrolled in one of the following Class(es): Junior, Senior"
BE 2400	Cellular and Molecular Biology	Biomedical Engineering	3	CH 1150 and MA 1160 or MA 1161	null	Fall	May not be enrolled in one of the following Class(es): Senior
BE 2700	Biomedical Signals &amp; Systems	Biomedical Engineering	3	CH 1150 or CH 1112 and PH 2100 and MA 2160 and ENG 1102	null	Fall	May not be enrolled in one of the following Class(es): Senior
BE 2800	Biomaterials I: Fundamental Materials Science and Engineering	Biomedical Engineering	3	BE 2400	null	Spring	May not be enrolled in one of the following Class(es): Senior
BE 3300	Biomechanics I: Statics and Dynamics	Biomedical Engineering	3	BE 2400 and (MA 2321 or MA 2320 or MA 2330) and (MA 3521 or MA 3520 or MA 3530) and BL 2010	null	Fall	May not be enrolled in one of the following Class(es): Freshman
BE 3350	Biomechanics II: Soft Tissue and Bio-Fluid Mechanics	Biomedical Engineering	3	BE 3300	null	Spring	May not be enrolled in one of the following Class(es): Freshman
BE 3400	Experimental Techniques in Biomedical Engineering	Biomedical Engineering	2	BE 2800	null	Fall	May not be enrolled in one of the following Class(es): Freshman
BE 3700	Biomedical Instrumentation	Biomedical Engineering	3	EE 3010 and PH 2200(C) and BL 2020(C) and BE 2700	BE 3701	Spring	May not be enrolled in one of the following Class(es): Freshman
BE 3701	Biomedical Instrumentation Lab	Biomedical Engineering	1	null	BE 3700	Spring	May not be enrolled in one of the following Class(es): Freshman
BE 3800	Biomaterials II: Properties and Biological Interactions	Biomedical Engineering	3	BE 2700(C) and BE 2800	null	Fall	May not be enrolled in one of the following Class(es): Freshman
BE 4000	Independent Study	Biomedical Engineering	variable to   6.0;  Repeatable to a Max of 12	null	null	"Fall, Spring, Summer"	Permission of instructor and department required
BE 4115	Finite Element Modeling	Biomedical Engineering	3	(MA 2320 or MA 2321) and (MA 3520 or MA 3521) and (BE 3350 or MEEM 2150)	null	Spring	Permission of instructor and department required
BE 4200	Cellular and Molecular Biology II	Biomedical Engineering	3	BE 2400	null	Spring - Offered alternate years beginning with the 2009-2010 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4220	Stem Cell Engineering	Biomedical Engineering	3	BE 2400 and BE 3350 and BE 3800	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4250	Biomedical Optics	Biomedical Engineering	3	(MA 2320 or MA 2321 or MA 2330) and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160	null	Spring - Offered alternate years beginning with the 2014-2015 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4300	Polymeric Biomaterials	Biomedical Engineering	3	BE 3800	null	"Fall, Spring - Offered alternate years beginning with the 2009-2010 academic year "	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4330	Biomimetic Materials	Biomedical Engineering	3	BE 3350 and BE 3800	null	Fall - Offered alternate years beginning with the 2014-2015 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4335	Smart Polymers	Biomedical Engineering	3	BE 3350 and BE 3800	null	Fall - Offered alternate years beginning with the 2015-2016 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4350	Cell Biomechanics and Mechanical Transduction	Biomedical Engineering	3	BE 2400 and BE 3350 and BE 3800	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4510	Cardiovascular Engineering	Biomedical Engineering	3	BL 2020 and BE 2400	null	Fall	"Must be enrolled in one of the following Class(es): Junior, Senior"
BE 4610	Biological Microscopy for Engineers	Biomedical Engineering	3	BE 3700	null	Fall - Offered alternate years beginning with the 2014-2015 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4700	Biosensors: Fabrication &amp; Applications	Biomedical Engineering	3	BE 3600 or (BE 3700 and BE 3701)	null	Fall - Offered alternate years beginning with the 2009-2010 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4755	Medical Devices	Biomedical Engineering	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4770	Biomedical Microcontrollers	Biomedical Engineering	3	BE 3600 or (BE 3700 and BE 3701)	null	Fall - Offered alternate years beginning with the 2013-2014 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4800	Biomaterials Interfaces	Biomedical Engineering	3	BE 3800	null	Spring - Offered alternate years beginning with the 2010-2011 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4900	Biomedical Design Fundamentals	Biomedical Engineering	2	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BE 4901	Biomedical Design Project I	Biomedical Engineering	2	BE 3500(C) and BE 3600 and (BE 3750 or MEEM 4180) or (BE 3350 and BE 3700 and BE 3701 and BE 3800) and BE 4900	null	Fall	"Must be enrolled in one of the following Major(s): Biomedical Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
BE 4910	Biomedical Design Project II	Biomedical Engineering	2	BE 4900 and BE 4901	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
BE 4930	Biomedical Engineering Topics	Biomedical Engineering	variable to   6.0;  May be repeated	null	null	"Fall, Spring, Summer"	Permission of instructor required
BE 4940	Introduction to Tissue Engineering	Biomedical Engineering	3	BE 2400 and BL 2020	null	Spring - Offered alternate years beginning with the 2010-2011 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 0600	Clinical Practicum and Career Preparation Seminar	Biological Sciences	1.0; Graded Pass/Fail Only	null	null	Spring	Must be enrolled in one of the following Major(s): Medical Laboratory Science; May not be enrolled in one of the following Class(es): Freshman
BL 1000	Introduction to Great Lakes Science	Biological Sciences	3	null	null	Fall	Must be enrolled in one of the following Major(s): Medical Laboratory Science; May not be enrolled in one of the following Class(es): Freshman
BL 1010	General Biology I	Biological Sciences	4	null	null	Fall	Must be enrolled in one of the following Major(s): Medical Laboratory Science; May not be enrolled in one of the following Class(es): Freshman
BL 1020	General Biology II	Biological Sciences	4	BL 1010	null	"Spring, Summer"	"Must be enrolled in one of the following Major(s): Medical Laboratory Science, Biological Sciences"
BL 1040	Principles of Biology	Biological Sciences	4	null	null	"Fall, Summer"	"May not be enrolled in one of the following Major(s): Medical Laboratory Science, Biological Sciences"
BL 1580	Introduction to Biological Sciences	Biological Sciences	1	null	null	Fall	"Must be enrolled in one of the following Major(s): Biological Sciences; Must be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 1590	Introduction to the Health Professions	Biological Sciences	1	null	null	Fall	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 1600	Introduction to Medical Laboratory Science	Biological Sciences	1	null	null	Fall	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 1710	Medical Terminology	Biological Sciences	1	null	null	Fall	"Must be enrolled in one of the following Class(es): Freshman, Sophomore"
BL 1800	Biochemistry Orientation	Biological Sciences	1	null	null	Fall	Must be enrolled in one of the following College(s): College of Sciences &amp; Arts
BL 2000	Biology of Movement and Meditation	Biological Sciences	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
BL 2004	Cooking and Nutrition	Biological Sciences	3	null	null	Summer	May not be enrolled in one of the following Class(es): Freshman
BL 2010	Anatomy &amp; Physiology l	Biological Sciences	3	CH 1000 or (CH 1150 and CH 1151)	null	"Fall, Summer"	May not be enrolled in one of the following Class(es): Freshman
