Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
ACC 2000,Accounting Principles I,Accounting,3.0,,,"Fall, Spring, Summer"
ACC 2100,Accounting Principles II,Accounting,3.0,ACC 2000,,"Fall, Spring, Summer"
ACC 3000,Accounting Theory/Practice I,Accounting,3.0,ACC 2000,,Fall
ACC 3100,Accounting Theory/Practice II,Accounting,3.0,ACC 3000 and FIN 3000(C),,Spring
ACC 3500,Managerial/Cost Accounting I,Accounting,3.0,ACC 2100,,Fall
ACC 3600,Foundations of Taxation,Accounting,3.0,ACC 2100,,Fall
ACC 4100,Attestation and Assurance,Accounting,3.0,ACC 3100 or ACC 5050,,Fall
ACC 4200,Advanced Accounting,Accounting,3.0,ACC 3100,,Fall
ACC 4500,Managerial/Cost Accounting II,Accounting,3.0,ACC 3500,,Spring
ACC 4600,Advanced Tax Topics,Accounting,3.0,ACC 3600,,Spring
ACC 4700,Governmental and Not-for-Profit Accounting,Accounting,3.0,ACC 3100,,Spring
ACC 4800,Accounting Systems,Accounting,3.0,ACC 2100 or ACC 5050,,Fall
ACC 4990,Special Topics in Accounting,Accounting,variable to   3.0;  Repeatable to a Max of 6,ACC 3310,,On Demand
AF 0120,Physical Conditioning,Air Force ROTC,0.5; Graded Pass/Fail Only,,,Spring
AF 0130,Air Force Elite Forces Workout,Air Force ROTC,1.0; Graded Pass/Fail Only,,,On Demand
AF 0230,Precision Drill Team,Air Force ROTC,0.5; Graded Pass/Fail Only,,,Fall
AF 0340,Field Training,Air Force ROTC,1.0; Graded Pass/Fail Only,,,Summer
AF 1001,Foundations of US Air Force I,Air Force ROTC,1.0,,,Fall
AF 1002,Foundations of US Air Force II,Air Force ROTC,1.0,,,Spring
AF 2001,Evolution of US Air &amp; Space Power I,Air Force ROTC,1.0,,,Fall
AF 2002,Evolution of US Air &amp; Space Power II,Air Force ROTC,1.0,,,Spring
AF 2010,Evolution of US Air And Space Power I for Non-AFROTC Students,Air Force ROTC,1.0,,,Fall
AF 2020,Evolution of US Air and Space Power II for Non-AFROTC Students,Air Force ROTC,1.0,,,Spring
AF 3001,Leadership Studies I,Air Force ROTC,3.0,,,Fall
AF 3002,Leadership Studies II,Air Force ROTC,3.0,,,Spring
AF 3010,Leadership Studies I for Non-AFROTC Students,Air Force ROTC,3.0,,,Fall
AF 3020,Leadership Studies II for Non-AFROTC Students,Air Force ROTC,3.0,,,Spring
AF 4001,National Security Affairs I,Air Force ROTC,3.0,,,Fall
AF 4002,National Security Affairs II,Air Force ROTC,3.0,,,Spring
AF 4010 - National Security Affairs I,National Security Affairs I - for Non-AFROTC Students,Air Force ROTC,3.0,,,Fall
AF 4020 - National Security Affairs II,National Security Affairs II - for Non-AFROTC Students,Air Force ROTC,3.0,,,Spring
AR 0340,Internship in Advanced Military Leadership,Army ROTC,3.0; Graded Pass/Fail Only,,,Summer
AR 1001,Introduction to the Army and Critical Thinking,Army ROTC,1.0,,,Fall
AR 1003,Leadership and Competence,Army ROTC,1.0,,,Spring
AR 1011,Basic Leadership Lab I,Army ROTC,1.0,,,Fall
AR 1012,Basic Leadership Lab II,Army ROTC,1.0,,,Spring
AR 2001,Leadership and Decision Making,Army ROTC,1.0,,,Fall
AR 2002,Army Doctrine and Team Development,Army ROTC,1.0,,,Spring
AR 2011,Intermediate Leadership Lab I,Army ROTC,1.0,,,Fall
AR 2012,Intermediate Leadership Lab II,Army ROTC,1.0,,,Spring
AR 2068,Fall Military Physical Conditioning,Army ROTC,1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only,,,Fall
AR 2069,Spring Military Physical Conditioning,Army ROTC,1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only,,,Spring
AR 3001,Warfighting Functions,Army ROTC,variable to   3.0,,AR 3011,Fall
AR 3002,Leadership and Operations,Army ROTC,variable to   3.0,AR 3001,AR 3012,Spring
AR 3011,Advanced Leadership Lab I,Army ROTC,1.0,,AR 3001,Fall
AR 3012,Advanced Leadership Lab II,Army ROTC,1.0,AR 3011,AR 3002,Spring
AR 3068,Military Physical Leadership I,Army ROTC,1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only,AR 2068 and AR 2069,,Fall
AR 3069,Military Physical Leadership II,Army ROTC,1.0;  Repeatable to a Max of 12; Graded Pass/Fail Only,AR 3068,,Spring
AR 3100,Special Topics Small Group Leadership,Army ROTC,variable to   3.0,,,On Demand
AR 3775,U.S. Military History for the Professional Officers,Army ROTC,3.0,,,Summer
AR 4001,Mission Command I and the Army Profession,Army ROTC,variable to   3.0,AR 3001 and AR 3002,AR 4011,"Fall, Spring"
AR 4004,Mission Command II and the Company Grade Officer,Army ROTC,variable to   3.0,AR 3001 and AR 3002,AR 4012,Spring
AR 4011,Battalion Staff Operations I,Army ROTC,1.0,,AR 4001,Fall
AR 4012,Battalion Staff Operations II,Army ROTC,1.0,,AR 4004,Spring
AR 4100,Special Topics Leadership Development,Army ROTC,variable to   3.0,,,On Demand
ATM 4640,Fundamentals of Atmospheric Science,Atmospheric Science,3.0,(PH 2200 or PH 2260) and (PH 1360 or PH 2300) and MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560),,Fall - Offered alternate years beginning with the 2015-2016 academic year 
BE 2100,Undergraduate Biomedical Engineering Seminar,Biomedical Engineering,1.0; Graded Pass/Fail Only,,,Fall
BE 2110,Statistical Methods for Biomedical Engineering,Biomedical Engineering,3.0,MA 1135 or MA 1160 or MA 1161,,Spring
BE 2400,Cellular and Molecular Biology,Biomedical Engineering,3.0,CH 1150 and MA 1160 or MA 1161,,Fall
BE 2700,Biomedical Signals &amp; Systems,Biomedical Engineering,3.0,CH 1150 or CH 1112 and PH 2100 and MA 2160 and ENG 1102,,Fall
BE 2800,Biomaterials I: Fundamental Materials Science and Engineering,Biomedical Engineering,3.0,BE 2400,,Spring
BE 3300,Biomechanics I: Statics and Dynamics,Biomedical Engineering,3.0,BE 2400 and (MA 2321 or MA 2320 or MA 2330) and (MA 3521 or MA 3520 or MA 3530) and BL 2010,,Fall
BE 3350,Biomechanics II: Soft Tissue and Bio-Fluid Mechanics,Biomedical Engineering,3.0,BE 3300,,Spring
BE 3400,Experimental Techniques in Biomedical Engineering,Biomedical Engineering,2.0,BE 2800,,Fall
BE 3700,Biomedical Instrumentation,Biomedical Engineering,3.0,EE 3010 and PH 2200(C) and BL 2020(C) and BE 2700,BE 3701,Spring
BE 3701,Biomedical Instrumentation Lab,Biomedical Engineering,1.0,,BE 3700,Spring
BE 3800,Biomaterials II: Properties and Biological Interactions,Biomedical Engineering,3.0,BE 2700(C) and BE 2800,,Fall
BE 4000,Independent Study,Biomedical Engineering,variable to   6.0;  Repeatable to a Max of 12,,,"Fall, Spring, Summer"
BE 4115,Finite Element Modeling,Biomedical Engineering,3.0,(MA 2320 or MA 2321) and (MA 3520 or MA 3521) and (BE 3350 or MEEM 2150),,Spring
BE 4200,Cellular and Molecular Biology II,Biomedical Engineering,3.0,BE 2400,,Spring - Offered alternate years beginning with the 2009-2010 academic year 
BE 4220,Stem Cell Engineering,Biomedical Engineering,3.0,BE 2400 and BE 3350 and BE 3800,,Spring
